"","Participant","pw12_ang/pw34_fea_w01_f","pw12_ang/pw34_fea_w01_m","pw12_fea/pw34_ang_w01_f","pw12_fea/pw34_ang_w01_m","pw12_ang/pw34_fea_w02_f","pw12_ang/pw34_fea_w02_m","pw12_fea/pw34_ang_w02_f","pw12_fea/pw34_ang_w02_m","pw12_ang/pw34_fea_w03_f","pw12_ang/pw34_fea_w03_m","pw12_fea/pw34_ang_w03_f","pw12_fea/pw34_ang_w03_m","pw12_ang/pw34_fea_w04_f","pw12_ang/pw34_fea_w04_m","pw12_fea/pw34_ang_w04_f","pw12_fea/pw34_ang_w04_m"
"1","03adab22",0.428571428571429,0.5,0.571428571428571,0.5,0.0714285714285714,0.357142857142857,0,0.357142857142857,0.0714285714285714,0.285714285714286,0.5,0.461538461538462,0.5,0.357142857142857,0.357142857142857,0.285714285714286
"2","05da49af",0.571428571428571,0.142857142857143,0.357142857142857,0.428571428571429,0.214285714285714,0.0714285714285714,0,0.0714285714285714,0.285714285714286,0.142857142857143,0.285714285714286,0.142857142857143,0.357142857142857,0.285714285714286,0.285714285714286,0.214285714285714
"3","10da0ee5",0.571428571428571,0.571428571428571,0.285714285714286,0.5,0.357142857142857,0.5,0.214285714285714,0.5,0.461538461538462,0.384615384615385,0.428571428571429,0.357142857142857,0.357142857142857,0.5,0.285714285714286,0.428571428571429
"4","1547126d",0.428571428571429,0.285714285714286,0.428571428571429,0.142857142857143,0.142857142857143,0.214285714285714,0.0714285714285714,0.214285714285714,0.285714285714286,0.0714285714285714,0.357142857142857,0.0714285714285714,0.428571428571429,0.357142857142857,0.428571428571429,0.142857142857143
"5","19112116",0.5,0.357142857142857,0.428571428571429,0.428571428571429,0.142857142857143,0.214285714285714,0.285714285714286,0.214285714285714,0.285714285714286,0.285714285714286,0.5,0.214285714285714,0.357142857142857,0.428571428571429,0.357142857142857,0.571428571428571
"6","1d6d7f39",0.714285714285714,0.5,0.642857142857143,0.428571428571429,0.285714285714286,0.142857142857143,0.285714285714286,0.214285714285714,0.571428571428571,0.0714285714285714,0.357142857142857,0.214285714285714,0.714285714285714,0.5,0.285714285714286,0.428571428571429
"7","25e32d6b",0.714285714285714,0.642857142857143,0.714285714285714,0.571428571428571,0.428571428571429,0.5,0.285714285714286,0.5,0.5,0.5,0.571428571428571,0.5,0.357142857142857,0.428571428571429,0.857142857142857,0.5
"8","339fa9f6",0.714285714285714,0.571428571428571,0.5,0.384615384615385,0.142857142857143,0.142857142857143,0.0714285714285714,0.142857142857143,0.0714285714285714,0.357142857142857,0.285714285714286,0.0714285714285714,0.428571428571429,0.428571428571429,0.785714285714286,0.5
"9","34891e4e",0.846153846153846,0.857142857142857,0.928571428571429,0.785714285714286,0.357142857142857,0.428571428571429,0.285714285714286,0.5,0.571428571428571,0.571428571428571,0.428571428571429,0.5,0.642857142857143,0.642857142857143,0.714285714285714,0.571428571428571
"10","3c3a6a03",0.928571428571429,0.571428571428571,0.785714285714286,0.571428571428571,0.214285714285714,0.428571428571429,0.428571428571429,0.357142857142857,0.428571428571429,0.5,0.461538461538462,0.5,0.714285714285714,0.357142857142857,0.642857142857143,0.5
"11","4ade5f31",0.615384615384615,0.714285714285714,0.642857142857143,0.642857142857143,0.357142857142857,0.5,0.384615384615385,0.357142857142857,0.5,0.5,0.5,0.5,0.5,0.571428571428571,0.357142857142857,0.416666666666667
"12","4d35103d",0.285714285714286,0.307692307692308,0.357142857142857,0.428571428571429,0.0714285714285714,0.142857142857143,0.214285714285714,0.142857142857143,0.214285714285714,0.0769230769230769,0.214285714285714,0.285714285714286,0.357142857142857,0.357142857142857,0.5,0.428571428571429
"13","5232b1c3",0.428571428571429,0.571428571428571,0.642857142857143,0.571428571428571,0.214285714285714,0.357142857142857,0.0714285714285714,0.357142857142857,0.357142857142857,0.428571428571429,0.357142857142857,0.357142857142857,0.642857142857143,0.428571428571429,0.571428571428571,0.571428571428571
"14","5ce81bcf",0.428571428571429,0.714285714285714,0.285714285714286,0.5,0.142857142857143,0.428571428571429,0.285714285714286,0.538461538461538,0.142857142857143,0.428571428571429,0.357142857142857,0.5,0.428571428571429,0.5,0.357142857142857,0.357142857142857
"15","5eb70e6b",0.571428571428571,0.571428571428571,0.642857142857143,0.428571428571429,0.285714285714286,0.214285714285714,0.214285714285714,0.357142857142857,0.357142857142857,0.642857142857143,0.428571428571429,0.357142857142857,0.538461538461538,0.5,0.642857142857143,0.5
"16","5ed25fdf",0.428571428571429,0.214285714285714,0.357142857142857,0.357142857142857,0.285714285714286,0.285714285714286,0.285714285714286,0.214285714285714,0.357142857142857,0.285714285714286,0.153846153846154,0.142857142857143,0.357142857142857,0.214285714285714,0.5,0.142857142857143
"17","607960f0",0.714285714285714,0.357142857142857,0.428571428571429,0.357142857142857,0.357142857142857,0.428571428571429,0.357142857142857,0.0714285714285714,0.785714285714286,0.714285714285714,0.571428571428571,0.571428571428571,0.769230769230769,0.785714285714286,0.461538461538462,0.357142857142857
"18","624ae1f3",0.785714285714286,0.571428571428571,0.571428571428571,0.428571428571429,0.428571428571429,0.357142857142857,0.285714285714286,0.142857142857143,0.571428571428571,0.428571428571429,0.428571428571429,0.5,0.785714285714286,0.428571428571429,0.571428571428571,0.428571428571429
"19","6d44f0e3",0.357142857142857,0.428571428571429,0.5,0.5,0.214285714285714,0.357142857142857,0.142857142857143,0.357142857142857,0.5,0.428571428571429,0.357142857142857,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.571428571428571
"20","7b15ace2",0.785714285714286,0.642857142857143,0.428571428571429,0.428571428571429,0.428571428571429,0.428571428571429,0.285714285714286,0.642857142857143,0.5,0.571428571428571,0.428571428571429,0.461538461538462,0.642857142857143,0.642857142857143,0.571428571428571,0.428571428571429
"21","83f395b3",0.214285714285714,0.428571428571429,0.428571428571429,0.5,0.142857142857143,0.285714285714286,0.142857142857143,0.357142857142857,0.214285714285714,0.357142857142857,0.214285714285714,0.5,0.285714285714286,0.428571428571429,0.5,0.428571428571429
"22","8b1637a8",0.416666666666667,0.615384615384615,0.357142857142857,0.692307692307692,0.428571428571429,0.428571428571429,0.142857142857143,0.785714285714286,0.846153846153846,0.571428571428571,0.428571428571429,0.615384615384615,0.5,0.769230769230769,0.384615384615385,0.785714285714286
"23","9219adfa",0.571428571428571,0.357142857142857,0.642857142857143,0.428571428571429,0.357142857142857,0.214285714285714,0.214285714285714,0.142857142857143,0.357142857142857,0.428571428571429,0.214285714285714,0.285714285714286,0.642857142857143,0.428571428571429,0.714285714285714,0.428571428571429
"24","9966fcf3",0.642857142857143,0.5,0.642857142857143,0.571428571428571,0.357142857142857,0.357142857142857,0.357142857142857,0.142857142857143,0.285714285714286,0.285714285714286,0.428571428571429,0.357142857142857,0.428571428571429,0.5,0.642857142857143,0.357142857142857
"25","ac09d258",0.642857142857143,0.5,0.571428571428571,0.428571428571429,0.214285714285714,0.428571428571429,0.428571428571429,0.285714285714286,0.5,0.538461538461538,0.428571428571429,0.428571428571429,0.714285714285714,0.571428571428571,0.714285714285714,0.428571428571429
"26","b4c7f791",0.642857142857143,0.571428571428571,0.642857142857143,0.571428571428571,0.285714285714286,0.333333333333333,0.5,0.214285714285714,0.428571428571429,0.285714285714286,0.428571428571429,0.285714285714286,0.571428571428571,0.428571428571429,0.571428571428571,0.571428571428571
"27","cffaace5",0.642857142857143,0.642857142857143,0.5,0.5,0.5,0.5,0.428571428571429,0.357142857142857,0.357142857142857,0.357142857142857,0.428571428571429,0.5,0.571428571428571,0.571428571428571,0.5,0.428571428571429
"28","d20d40cc",0.571428571428571,0.5,0.5,0.285714285714286,0.142857142857143,0.214285714285714,0.142857142857143,0.285714285714286,0.428571428571429,0.428571428571429,0.357142857142857,0.285714285714286,0.571428571428571,0.357142857142857,0.357142857142857,0.5
"29","d38ffd0b",0.428571428571429,0.5,0.428571428571429,0.428571428571429,0.142857142857143,0.428571428571429,0.214285714285714,0.285714285714286,0.5,0.571428571428571,0.5,0.5,0.357142857142857,0.5,0.384615384615385,0.428571428571429
"30","d4f68536",0.538461538461538,0.428571428571429,0.571428571428571,0.357142857142857,0.357142857142857,0.214285714285714,0.357142857142857,0.142857142857143,0.285714285714286,0.428571428571429,0.285714285714286,0.0714285714285714,0.428571428571429,0.428571428571429,0.5,0.357142857142857
"31","d590d5c3",0.642857142857143,0.642857142857143,0.5,0.714285714285714,0.357142857142857,0.214285714285714,0.214285714285714,0.428571428571429,0.428571428571429,0.642857142857143,0.461538461538462,0.5,0.571428571428571,0.642857142857143,0.642857142857143,0.571428571428571
"32","d5f6a828",0.571428571428571,0.571428571428571,0.571428571428571,0.285714285714286,0.428571428571429,0.285714285714286,0.285714285714286,0.214285714285714,0.5,0.214285714285714,0.5,0.214285714285714,0.5,0.285714285714286,0.428571428571429,0.214285714285714
"33","dcbab922",0.5,0.642857142857143,0.642857142857143,0.461538461538462,0.214285714285714,0.538461538461538,0.357142857142857,0.285714285714286,0.428571428571429,0.428571428571429,0.428571428571429,0.384615384615385,0.5,0.5,0.428571428571429,0.357142857142857
"34","dcc56fb0",0.357142857142857,0.571428571428571,0.5,0.571428571428571,0,0.285714285714286,0.285714285714286,0.357142857142857,0.214285714285714,0.285714285714286,0.214285714285714,0.428571428571429,0.428571428571429,0.5,0.5,0.5
"35","dce7618c",0.5,0.571428571428571,0.571428571428571,0.571428571428571,0.214285714285714,0.285714285714286,0.357142857142857,0.285714285714286,0.285714285714286,0.357142857142857,0.357142857142857,0.357142857142857,0.642857142857143,0.357142857142857,0.714285714285714,0.357142857142857
"36","de2e65dc",0.357142857142857,0.857142857142857,0.642857142857143,0.642857142857143,0.461538461538462,0.714285714285714,0.5,0.214285714285714,0.571428571428571,0.642857142857143,0.5,0.714285714285714,0.571428571428571,0.5,0.571428571428571,0.5
"37","df4955c7",0.785714285714286,0.785714285714286,0.785714285714286,0.714285714285714,0.428571428571429,0.714285714285714,0.384615384615385,0.714285714285714,0.642857142857143,0.5,0.642857142857143,0.571428571428571,0.642857142857143,0.5,0.714285714285714,0.571428571428571
"38","df6b31a9",0.571428571428571,0.642857142857143,0.5,0.571428571428571,0.285714285714286,0.285714285714286,0.5,0.357142857142857,0.5,0.428571428571429,0.5,0.642857142857143,0.5,0.571428571428571,0.642857142857143,0.642857142857143
"39","e0670839",0.428571428571429,0.642857142857143,0.5,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0.357142857142857,0.285714285714286,0.5,0.5,0.5,0.357142857142857,0.428571428571429,0.428571428571429,0.428571428571429
"40","e479ba78",0.428571428571429,0.642857142857143,0.428571428571429,0.642857142857143,0.285714285714286,0.357142857142857,0.0714285714285714,0.285714285714286,0.357142857142857,0.5,0.285714285714286,0.428571428571429,0.571428571428571,0.428571428571429,0.428571428571429,0.428571428571429
"41","eda7b7e6",0.571428571428571,0.714285714285714,0.642857142857143,0.428571428571429,0.285714285714286,0.357142857142857,0.285714285714286,0.142857142857143,0.214285714285714,0.428571428571429,0.357142857142857,0.214285714285714,0.428571428571429,0.357142857142857,0.5,0.285714285714286
"42","f34a88cf",0.5,0.285714285714286,0.357142857142857,0.428571428571429,0.214285714285714,0.214285714285714,0.0714285714285714,0.428571428571429,0.5,0.357142857142857,0.214285714285714,0.357142857142857,0.5,0.357142857142857,0.285714285714286,0.357142857142857
